,pid,rank,name,link,points_moved,tourneys_played,points_losing,points_gaining
585,dc38,585,Jake Delaney,/en/players/jake-delaney/dc38/overview,-,27,1,-
586,o0ad,586,Neil Oberleitner,/en/players/neil-oberleitner/o0ad/overview,-,28,2,-
587,s0bt,587,Adria Soriano Barrera,/en/players/adria-soriano-barrera/s0bt/overview,-,19,-,-
588,co07,588,Ezekiel Clark,/en/players/ezekiel-clark/co07/overview,+1,23,1,-
589,pg69,589,Juan Pablo Paz,/en/players/juan-pablo-paz/pg69/overview,-,31,-,-
590,l0er,590,Timo Legout,/en/players/timo-legout/l0er/overview,-,11,16,-
591,ki74,591,Nicola Kuhn,/en/players/nicola-kuhn/ki74/overview,-,12,-,-
592,n0db,592,Andrej Nedic,/en/players/andrej-nedic/n0db/overview,-,16,-,-
593,h0c9,593,Arklon Huertas Del Pino Cordova,/en/players/arklon-huertas-del-pino-cordova/h0c9/overview,-1,16,1,-
594,j0aw,594,Guido Ivan Justo,/en/players/guido-ivan-justo/j0aw/overview,-,18,-,-
595,ag08,595,Andres Andrade,/en/players/andres-andrade/ag08/overview,+8,21,-,-
596,p0hp,596,Lukas Pokorny,/en/players/lukas-pokorny/p0hp/overview,-1,24,-,-
597,c0bb,597,Tommaso Compagnucci,/en/players/tommaso-compagnucci/c0bb/overview,+1,25,-,-
598,kc29,598,Nicolas Kicker,/en/players/nicolas-kicker/kc29/overview,-,8,-,-
599,pl64,599,Oleg Prihodko,/en/players/oleg-prihodko/pl64/overview,+4,17,-,-
600,fa50,600,Thomas Fancutt,/en/players/thomas-fancutt/fa50/overview,-,19,8,-
601,e0au,601,John Echeverria,/en/players/john-echeverria/e0au/overview,-,19,1,-
602,s0dq,602,Keegan Smith,/en/players/keegan-smith/s0dq/overview,-3,22,4,-
603,w712,603,Kai Wehnelt,/en/players/kai-wehnelt/w712/overview,-,24,-,-
604,dh23,604,S D Prajwal Dev,/en/players/s-d-prajwal-dev/dh23/overview,-1,26,-,-
605,t0aa,605,Dan Alexandru Tomescu,/en/players/dan-alexandru-tomescu/t0aa/overview,+1,28,-,-
606,o659,606,Vladyslav Orlov,/en/players/vladyslav-orlov/o659/overview,-,29,-,-
607,va15,607,Duarte Vale,/en/players/duarte-vale/va15/overview,-,30,1,-
608,s0dl,608,Ryan Seggerman,/en/players/ryan-seggerman/s0dl/overview,-,14,-,-
609,p0iy,609,Juan Carlos Prado Angelo,/en/players/juan-carlos-prado-angelo/p0iy/overview,+1,16,1,-
610,a0ba,610,Federico Arnaboldi,/en/players/federico-arnaboldi/a0ba/overview,-2,22,-,-
611,pl38,611,Sebastian Prechtel,/en/players/sebastian-prechtel/pl38/overview,-,22,-,-
612,b0er,612,Arthur Bouquier,/en/players/arthur-bouquier/b0er/overview,-,23,-,-
613,r0bt,613,Franco Roncadelli,/en/players/franco-roncadelli/r0bt/overview,+1,30,2,-
614,d0fa,614,Yassine Dlimi,/en/players/yassine-dlimi/d0fa/overview,-,11,-,-
615,v717,615,Alexey Vatutin,/en/players/alexey-vatutin/v717/overview,-,17,-,-
616,ch80,616,Luca Castelnuovo,/en/players/luca-castelnuovo/ch80/overview,+2,26,-,-
617,r0h2,617,Pedro Rodenas,/en/players/pedro-rodenas/r0h2/overview,-2,12,-,-
618,c0hx,618,Ozan Baris,/en/players/ozan-baris/c0hx/overview,-,15,2,-
619,h0b5,619,Tsung-Hao Huang,/en/players/tsung-hao-huang/h0b5/overview,+2,22,-,-
620,p0i6,620,Gabriele Piraino,/en/players/gabriele-piraino/p0i6/overview,-,23,-,-
621,b0hf,621,Diego Augusto Barreto Sanchez,/en/players/diego-augusto-barreto-sanchez/b0hf/overview,+1,27,-,-
622,b0ek,622,Moerani Bouzige,/en/players/moerani-bouzige/b0ek/overview,-,33,-,-
623,sm88,623,Karue Sell,/en/players/karue-sell/sm88/overview,+8,7,-,-
624,a09p,624,Alafia Ayeni,/en/players/alafia-ayeni/a09p/overview,-,12,-,-
625,d0d2,625,Alec Deckers,/en/players/alec-deckers/d0d2/overview,-,16,-,-
626,bt68,626,Elliot Benchetrit,/en/players/elliot-benchetrit/bt68/overview,+2,16,3,-
627,g0a0,627,Andrea Guerrieri,/en/players/andrea-guerrieri/g0a0/overview,-,19,4,-
628,b0am,628,Lorenzo Bocchi,/en/players/lorenzo-bocchi/b0am/overview,-,20,1,-
629,sy71,629,Digvijaypratap Singh,/en/players/digvijaypratap-singh/sy71/overview,-,21,-,-
630,a678,630,Kevin Anderson,/en/players/kevin-anderson/a678/overview,-,3,-,-
631,b0f8,631,Justin Boulais,/en/players/justin-boulais/b0f8/overview,-,9,-,-
632,ka22,632,Dayne Kelly,/en/players/dayne-kelly/ka22/overview,-,11,2,-
633,sl92,633,Shuichi Sekiguchi,/en/players/shuichi-sekiguchi/sl92/overview,-,14,-,-
634,s0ek,634,Matias Soto,/en/players/matias-soto/s0ek/overview,-,16,-,-
635,i230,635,Tatsuma Ito,/en/players/tatsuma-ito/i230/overview,-,17,-,-
636,gk24,636,Luca Giacomini,/en/players/luca-giacomini/gk24/overview,-,22,-,-
637,r0gn,637,Amaury Raynel,/en/players/amaury-raynel/r0gn/overview,-,31,-,-
638,k0hl,638,Kyle Kang,/en/players/kyle-kang/k0hl/overview,-1,11,8,-
639,b0mm,639,Edas Butvilas,/en/players/edas-butvilas/b0mm/overview,-,14,-,-
640,f965,640,Sora Fukuda,/en/players/sora-fukuda/f965/overview,-,14,-,-
641,p0b2,641,Luca Potenza,/en/players/luca-potenza/p0b2/overview,-1,24,-,-
642,f0bv,642,Tomas Farjat,/en/players/tomas-farjat/f0bv/overview,-,28,-,-
643,n731,643,Christoph Negritu,/en/players/christoph-negritu/n731/overview,-,28,-,-
644,i330,644,Shintaro Imai,/en/players/shintaro-imai/i330/overview,-,6,-,-
645,mp83,645,Gian Marco Moroni,/en/players/gian-marco-moroni/mp83/overview,-,8,-,-
646,g0av,646,Carlos Gimeno Valero,/en/players/carlos-gimeno-valero/g0av/overview,-,15,-,-
647,be67,647,Mirza Basic,/en/players/mirza-basic/be67/overview,-,16,-,-
648,j400,648,Jeremy Jahn,/en/players/jeremy-jahn/j400/overview,-,17,-,-
649,z09b,649,Alexander Zgirovsky,/en/players/alexander-zgirovsky/z09b/overview,-,18,-,-
650,s0o6,650,Ilia Simakin,/en/players/ilia-simakin/s0o6/overview,-,20,-,-
651,le01,651,Duckhee Lee,/en/players/duckhee-lee/le01/overview,+1,23,-,-
652,mq75,652,Kamil Majchrzak,/en/players/kamil-majchrzak/mq75/overview,-,5,-,-
653,r0e0,653,Chris Rodesch,/en/players/chris-rodesch/r0e0/overview,-,11,-,-
654,n409,654,Rafael Nadal,/en/players/rafael-nadal/n409/overview,-,12,-,-
655,ph67,655,Nathan Ponwith,/en/players/nathan-ponwith/ph67/overview,-7,15,-,-
656,f0a3,656,Sergey Fomin,/en/players/sergey-fomin/f0a3/overview,+3,24,4,-
657,b0jp,657,Dali Blanch,/en/players/dali-blanch/b0jp/overview,-,26,-,-
658,cf60,658,Pawel Juszczak,/en/players/pawel-juszczak/cf60/overview,-,16,-,-
659,m0bw,659,Ye Cong Mo,/en/players/ye-cong-mo/m0bw/overview,-,21,-,-
660,mo54,660,Jorge Martinez Martinez,/en/players/jorge-martinez-martinez/mo54/overview,-,27,-,-
661,lb84,661,Juan Ignacio Londero,/en/players/juan-ignacio-londero/lb84/overview,-,4,-,-
662,f0dp,662,Peter Fajta,/en/players/peter-fajta/f0dp/overview,-15,13,-,-
663,l949,663,Henri Laaksonen,/en/players/henri-laaksonen/l949/overview,-,14,-,-
664,w749,664,Enzo Wallart,/en/players/enzo-wallart/w749/overview,-,16,-,-
665,b0a0,665,Maxence Beauge,/en/players/maxence-beauge/b0a0/overview,-,27,-,-
666,c0jv,666,Lorenzo Claverie,/en/players/lorenzo-claverie/c0jv/overview,-,15,-,-
667,r0f1,667,Johan Alexander Rodriguez,/en/players/johan-alexander-rodriguez/r0f1/overview,-,15,-,-
668,n934,668,Kazuki Nishiwaki,/en/players/kazuki-nishiwaki/n934/overview,-,17,-,-
669,s0hr,669,Kasidit Samrej,/en/players/kasidit-samrej/s0hr/overview,-,18,-,-
670,b0c7,670,Justin Barki,/en/players/justin-barki/b0c7/overview,-,10,-,-
671,m0eg,671,Tristan McCormick,/en/players/tristan-mccormick/m0eg/overview,-,12,-,-
672,v0d0,672,Niels Visker,/en/players/niels-visker/v0d0/overview,+8,21,-,-
673,af41,673,Rishab Agarwal,/en/players/rishab-agarwal/af41/overview,-,22,-,-
674,c0hv,674,Luca Castagnola,/en/players/luca-castagnola/c0hv/overview,+4,23,-,-
675,p0bk,675,Stuart Parker,/en/players/stuart-parker/p0bk/overview,-,16,-,-
676,k0ak,676,Yuta Kawahashi,/en/players/yuta-kawahashi/k0ak/overview,-,18,-,-
677,b0ot,677,Jacob Bradshaw,/en/players/jacob-bradshaw/b0ot/overview,-,29,-,-
678,t0gf,678,James Tracy,/en/players/james-tracy/t0gf/overview,-,5,-,-
679,va48,679,Siddharth Vishwakarma,/en/players/siddharth-vishwakarma/va48/overview,-,13,-,-
680,hg90,680,Conner Huertas del Pino,/en/players/conner-huertas-del-pino/hg90/overview,-,13,1,-
681,pl39,681,Alfredo Perez,/en/players/alfredo-perez/pl39/overview,-,17,-,-
682,p0cd,682,Daniel Paty,/en/players/daniel-paty/p0cd/overview,-,18,-,-
683,o0ai,683,Dusan Obradovic,/en/players/dusan-obradovic/o0ai/overview,-,22,-,-
684,m09e,684,Tao Mu,/en/players/tao-mu/m09e/overview,-,27,2,-
685,c0ow,685,Lorenzo Carboni,/en/players/lorenzo-carboni/c0ow/overview,-,20,-,-
686,ag57,686,Leonardo Aboian,/en/players/leonardo-aboian/ag57/overview,-,27,-,-
687,a0ea,687,Max Alcala Gurri,/en/players/max-alcala-gurri/a0ea/overview,-,30,2,-
688,dg53,688,Gabriel Decamps,/en/players/gabriel-decamps/dg53/overview,+8,12,-,-
689,d776,689,Thiemo de Bakker,/en/players/thiemo-de-bakker/d776/overview,-,17,-,-
690,k0de,690,Takuya Kumasaka,/en/players/takuya-kumasaka/k0de/overview,-,24,-,-
691,kh77,691,Niki Kaliyanda Poonacha,/en/players/niki-kaliyanda-poonacha/kh77/overview,+14,17,2,-
692,pf36,692,David Perez Sanz,/en/players/david-perez-sanz/pf36/overview,-,18,-,-
693,i0a6,693,Taisei Ichikawa,/en/players/taisei-ichikawa/i0a6/overview,-,23,-,-
694,g0g2,694,Mario Gonzalez Fernandez,/en/players/mario-gonzalez-fernandez/g0g2/overview,-,26,8,-
695,h0ei,695,Millen Hurrion,/en/players/millen-hurrion/h0ei/overview,-,26,-,-
696,rh13,696,Patrik Rikl,/en/players/patrik-rikl/rh13/overview,-,6,-,-
697,f811,697,Bjorn Fratangelo,/en/players/bjorn-fratangelo/f811/overview,-,7,-,-
698,n652,698,JiSung Nam,/en/players/jisung-nam/n652/overview,-,8,-,-
699,s0xe,699,Alejo Sanchez Quilez,/en/players/alejo-sanchez-quilez/s0xe/overview,-,12,-,-
700,p0j1,700,Rodrigo Pacheco Mendez,/en/players/rodrigo-pacheco-mendez/p0j1/overview,-1,15,-,-
701,j737,701,Facundo Juarez,/en/players/facundo-juarez/j737/overview,-,17,-,-
702,a0b6,702,Jaimee Floyd Angele,/en/players/jaimee-floyd-angele/a0b6/overview,-8,18,-,-
703,w0bd,703,Deney Wassermann,/en/players/deney-wassermann/w0bd/overview,-,21,-,-
704,s0nn,704,Joshua Sheehy,/en/players/joshua-sheehy/s0nn/overview,-2,23,1,-
705,s0qz,705,Sebastian Sorger,/en/players/sebastian-sorger/s0qz/overview,-,26,-,-
706,p0ed,706,Kiranpal Pannu,/en/players/kiranpal-pannu/p0ed/overview,+1,11,-,-
707,w0c4,707,Edward Winter,/en/players/edward-winter/w0c4/overview,-,17,-,-
708,t0fk,708,Giorgio Tabacco,/en/players/giorgio-tabacco/t0fk/overview,-,24,1,-
709,t0ag,709,Zura Tkemaladze,/en/players/zura-tkemaladze/t0ag/overview,+1,29,-,-
710,p0gp,710,Peter Benjamin Privara,/en/players/peter-benjamin-privara/p0gp/overview,+1,31,-,-
711,rb86,711,Sidharth Rawat,/en/players/sidharth-rawat/rb86/overview,-,18,-,-
712,l0by,712,Lewie Lane,/en/players/lewie-lane/l0by/overview,+1,22,-,-
713,ke69,713,Mariano Kestelboim,/en/players/mariano-kestelboim/ke69/overview,-,13,-,-
714,a0f3,714,Fabrizio Andaloro,/en/players/fabrizio-andaloro/a0f3/overview,-1,17,-,-
715,y0at,715,Jimmy Yang,/en/players/jimmy-yang/y0at/overview,-,18,-,-
716,x01a,716,Linang Xiao,/en/players/linang-xiao/x01a/overview,+1,21,-,-
717,z0c9,717,Marcel Zielinski,/en/players/marcel-zielinski/z0c9/overview,-,21,-,-
718,a0eu,718,Alexandre Aubriot,/en/players/alexandre-aubriot/a0eu/overview,-,25,1,-
719,t0gr,719,Oliver Tarvet,/en/players/oliver-tarvet/t0gr/overview,-,6,-,-
720,s0ja,720,Eliot Spizzirri,/en/players/eliot-spizzirri/s0ja/overview,-,10,-,-
721,pd07,721,Vasek Pospisil,/en/players/vasek-pospisil/pd07/overview,+4,11,-,-
722,m0on,722,Johannus Monday,/en/players/johannus-monday/m0on/overview,-,13,-,-
723,m0l2,723,Alejandro Manzanera Pertusa,/en/players/alejandro-manzanera-pertusa/m0l2/overview,-,18,-,-
724,bp79,724,Peter Bertran,/en/players/peter-bertran/bp79/overview,-,19,-,-
725,b0f0,725,Jiri Barnat,/en/players/jiri-barnat/b0f0/overview,-,22,-,-
726,sy05,726,Jakob Schnaitter,/en/players/jakob-schnaitter/sy05/overview,-2,24,-,-
727,s0r5,727,Ilya Snitari,/en/players/ilya-snitari/s0r5/overview,-,24,-,-
728,s0ri,728,Karan Singh,/en/players/karan-singh/s0ri/overview,-,26,-,-
729,g0gz,729,Liam Gavrielides,/en/players/liam-gavrielides/g0gz/overview,-,26,-,-
730,b0nv,730,Patrick Brady,/en/players/patrick-brady/b0nv/overview,-,20,-,-
731,o09s,731,Juan Bautista Otegui,/en/players/juan-bautista-otegui/o09s/overview,+3,27,-,-
732,b0d8,732,Jacob Brumm,/en/players/jacob-brumm/b0d8/overview,-1,28,-,-
733,b0bk,733,Aleksandr Braynin,/en/players/aleksandr-braynin/b0bk/overview,-,28,-,-
734,g0d9,734,Igor Gimenez,/en/players/igor-gimenez/g0d9/overview,-,31,-,-
735,p0k4,735,Tiago Pereira,/en/players/tiago-pereira/p0k4/overview,-,32,-,-
736,k0bu,736,Palaphoom Kovapitukted,/en/players/palaphoom-kovapitukted/k0bu/overview,-,13,-,-
737,r0ib,737,Maxence Rivet,/en/players/maxence-rivet/r0ib/overview,-,15,-,-
738,s0bg,738,Daisuke Sumizawa,/en/players/daisuke-sumizawa/s0bg/overview,-,20,-,-
739,mp94,739,Adam Moundir,/en/players/adam-moundir/mp94/overview,-,20,-,-
740,a09w,740,Juan Carlos Aguilar,/en/players/juan-carlos-aguilar/a09w/overview,-,21,-,-
741,ke36,741,Dominik Kellovsky,/en/players/dominik-kellovsky/ke36/overview,+1,22,-,-
742,i427,742,Simon Anthony Ivanov,/en/players/simon-anthony-ivanov/i427/overview,-,23,-,-
743,s0f7,743,Alexandros Skorilas,/en/players/alexandros-skorilas/s0f7/overview,-,25,-,-
744,a0g8,744,Amr Elsayed,/en/players/amr-elsayed/a0g8/overview,+1,27,1,-
745,h0bf,745,Philip Henning,/en/players/philip-henning/h0bf/overview,-,5,-,-
746,rh50,746,Arthur Reymond,/en/players/arthur-reymond/rh50/overview,-,11,-,-
747,l0db,747,Giuseppe La Vela,/en/players/giuseppe-la-vela/l0db/overview,-,16,-,-
748,b0c3,748,Simon Beaupain,/en/players/simon-beaupain/b0c3/overview,-,23,-,-
749,mo35,749,Calin Manda,/en/players/calin-manda/mo35/overview,-,29,-,-
750,n974,750,Petr Nouza,/en/players/petr-nouza/n974/overview,-,6,-,-
751,p0ht,751,Jack Pinnington Jones,/en/players/jack-pinnington-jones/p0ht/overview,-,7,-,-
752,m0gb,752,Alex Martinez,/en/players/alex-martinez/m0gb/overview,-,9,-,-
753,c0kh,753,Julio Cesar Porras,/en/players/julio-cesar-porras/c0kh/overview,-1,10,-,-
754,a0ja,754,Michael Agwi,/en/players/michael-agwi/a0ja/overview,+15,13,-,-
755,w741,755,Aoran Wang,/en/players/aoran-wang/w741/overview,-,14,-,-
756,sf41,756,Aldin Setkic,/en/players/aldin-setkic/sf41/overview,-,15,2,-
757,w0b3,757,Xiaofei Wang,/en/players/xiaofei-wang/w0b3/overview,-1,18,-,-
758,l0bu,758,Hanyi Liu,/en/players/hanyi-liu/l0bu/overview,-,21,-,-
759,b0iy,759,Alec Beckley,/en/players/alec-beckley/b0iy/overview,-1,26,-,-
760,i0ax,760,Kokoro Isomura,/en/players/kokoro-isomura/i0ax/overview,-,29,2,-
761,o09a,761,Aziz Ouakaa,/en/players/aziz-ouakaa/o09a/overview,-2,35,1,-
762,ca12,762,Jeremy Chardy,/en/players/jeremy-chardy/ca12/overview,-,5,-,-
763,h0ec,763,Cash Hanzlik,/en/players/cash-hanzlik/h0ec/overview,-,12,-,-
764,j0d4,764,Jeremy Jin,/en/players/jeremy-jin/j0d4/overview,-,15,-,-
765,h0ag,765,Ray Ho,/en/players/ray-ho/h0ag/overview,-,21,-,-
766,v306,766,Fernando Verdasco,/en/players/fernando-verdasco/v306/overview,-,9,-,-
767,m0na,767,Shunsuke Mitsui,/en/players/shunsuke-mitsui/m0na/overview,-,10,-,-
768,ab54,768,Harrison Adams,/en/players/harrison-adams/ab54/overview,-,10,-,-
769,kh41,769,Patrick Kaukovalta,/en/players/patrick-kaukovalta/kh41/overview,-,13,-,-
770,g0dd,770,William Grant,/en/players/william-grant/g0dd/overview,+1,14,-,-
771,cn15,771,Felix Corwin,/en/players/felix-corwin/cn15/overview,+1,14,-,-
772,j0cm,772,Viktor Jovic,/en/players/viktor-jovic/j0cm/overview,-,17,-,-
773,dh55,773,Michiel De Krom,/en/players/michiel-de-krom/dh55/overview,-,22,-,-
774,a0es,774,Pedro Araujo,/en/players/pedro-araujo/a0es/overview,+8,23,-,-
775,r0h6,775,Leonardo Rossi,/en/players/leonardo-rossi/r0h6/overview,-,27,1,-
776,e858,776,Franco Emanuel Egea,/en/players/franco-emanuel-egea/e858/overview,-,10,8,-
777,l09d,777,Aliaksandr Liaonenka,/en/players/aliaksandr-liaonenka/l09d/overview,-,13,-,-
778,s0tx,778,Henry Searle,/en/players/henry-searle/s0tx/overview,-,13,-,-
779,h0ek,779,Emile Hudd,/en/players/emile-hudd/h0ek/overview,+4,15,-,-
780,n0ba,780,Axel Nefve,/en/players/axel-nefve/n0ba/overview,+2,16,-,-
781,p0fy,781,Alessandro Pecci,/en/players/alessandro-pecci/p0fy/overview,-,17,-,-
782,l0dm,782,Alejo Lorenzo Lingua Lavallen,/en/players/alejo-lorenzo-lingua-lavallen/l0dm/overview,-,18,1,-
783,g0iw,783,Antoine Ghibaudo,/en/players/antoine-ghibaudo/g0iw/overview,+1,19,-,-
784,m0bo,784,Colin Markes,/en/players/colin-markes/m0bo/overview,-,23,-,-
785,w0bb,785,Max Wiskandt,/en/players/max-wiskandt/w0bb/overview,-,24,-,-
786,lg37,786,Grigoriy Lomakin,/en/players/grigoriy-lomakin/lg37/overview,-,28,-,-
787,mj70,787,Karim-Mohamed Maamoun,/en/players/karim-mohamed-maamoun/mj70/overview,-,7,-,-
788,o0be,788,Oleksandr Ovcharenko,/en/players/oleksandr-ovcharenko/o0be/overview,+8,9,-,-
789,bu35,789,Maxence Broville,/en/players/maxence-broville/bu35/overview,-,10,-,-
790,b0lq,790,Petr Bar Biryukov,/en/players/petr-bar-biryukov/b0lq/overview,-,14,-,-
791,mm78,791,Jonathan Mridha,/en/players/jonathan-mridha/mm78/overview,-,17,-,-
792,k0hg,792,Milos Karol,/en/players/milos-karol/k0hg/overview,+4,20,-,-
793,rh17,793,Justin Roberts,/en/players/justin-roberts/rh17/overview,-,22,8,-
794,tb70,794,Wishaya Trongcharoenchaikul,/en/players/wishaya-trongcharoenchaikul/tb70/overview,-,26,-,-
795,p0av,795,Uisung Park,/en/players/uisung-park/p0av/overview,-,3,-,-
796,b0m3,796,Pierre Yves Bailly,/en/players/pierre-yves-bailly/b0m3/overview,-,5,-,-
797,m0gp,797,Filippo Moroni,/en/players/filippo-moroni/m0gp/overview,-,8,-,-
798,ld26,798,Edan Leshem,/en/players/edan-leshem/ld26/overview,-16,8,-,-
799,m0c2,799,Dan  Martin,/en/players/dan--martin/m0c2/overview,-,14,-,-
800,v0bc,800,Cyril Vandermeersch,/en/players/cyril-vandermeersch/v0bc/overview,-,16,-,-
801,mt97,801,Maxime Mora,/en/players/maxime-mora/mt97/overview,-2,17,-,-
802,d985,802,Joao Domingues,/en/players/joao-domingues/d985/overview,+1,20,-,-
803,sm25,803,Jack Sock,/en/players/jack-sock/sm25/overview,-,3,-,-
804,bu34,804,Jeremy Beale,/en/players/jeremy-beale/bu34/overview,-,4,-,-
805,s0z6,805,Alexander Stater,/en/players/alexander-stater/s0z6/overview,-,6,-,-
806,h0ba,806,Shinji Hazawa,/en/players/shinji-hazawa/h0ba/overview,-2,9,-,-
807,w738,807,Brandon Walkin,/en/players/brandon-walkin/w738/overview,-,16,-,-
808,e0ab,808,Ishaque Eqbal,/en/players/ishaque-eqbal/e0ab/overview,-,21,-,-
809,f0c4,809,Diego Fernandez Flores,/en/players/diego-fernandez-flores/f0c4/overview,-,23,-,-
810,b0c5,810,Florian Broska,/en/players/florian-broska/b0c5/overview,+1,24,-,-
811,l0i5,811,Mitsuki Wei Kang Leong,/en/players/mitsuki-wei-kang-leong/l0i5/overview,-,25,-,-
812,a0ia,812,Erik Arutiunian,/en/players/erik-arutiunian/a0ia/overview,+1,26,-,-
813,sy42,813,Thomas Setodji,/en/players/thomas-setodji/sy42/overview,-,2,-,-
814,c882,814,Pablo Cuevas,/en/players/pablo-cuevas/c882/overview,-,5,-,-
815,b0j6,815,Tauheed Browning,/en/players/tauheed-browning/b0j6/overview,-,6,-,-
816,ke64,816,Stefan Kozlov,/en/players/stefan-kozlov/ke64/overview,-,6,-,-
817,k0hz,817,Aidan Kim,/en/players/aidan-kim/k0hz/overview,-3,11,-,-
818,b0ez,818,Ignacio Antonio Becerra Otarola,/en/players/ignacio-antonio-becerra-otarola/b0ez/overview,-,11,-,-
819,v0dx,819,Bautista Vilicich,/en/players/bautista-vilicich/v0dx/overview,+1,12,-,-
820,d0i6,820,Yaroslav Demin,/en/players/yaroslav-demin/d0i6/overview,-,12,-,-
821,j09j,821,Yeong-Seok Jeong,/en/players/yeong-seok-jeong/j09j/overview,-1,12,1,-
822,s0rd,822,Adit Sinha,/en/players/adit-sinha/s0rd/overview,-,13,-,-
823,t0ia,823,Ryoatro Taguchi,/en/players/ryoatro-taguchi/t0ia/overview,-,14,-,-
824,sz32,824,Fabien Salle,/en/players/fabien-salle/sz32/overview,+2,16,-,-
825,g0i3,825,Massimo Giunta,/en/players/massimo-giunta/g0i3/overview,-,17,-,-
826,rh88,826,Alan Fernando Rubio Fierros,/en/players/alan-fernando-rubio-fierros/rh88/overview,-,17,-,-
827,m0k2,827,Pietro Marino,/en/players/pietro-marino/m0k2/overview,+3,22,-,-
828,hh32,828,Alejandro Hoyos,/en/players/alejandro-hoyos/hh32/overview,-,24,-,-
829,d0hm,829,Matthew William Donald,/en/players/matthew-william-donald/d0hm/overview,-,27,-,-
830,n0be,830,Adam Neff,/en/players/adam-neff/n0be/overview,-,9,-,-
831,y09l,831,Bang Shuo Yin,/en/players/bang-shuo-yin/y09l/overview,-,11,-,-
832,s0v8,832,Ofek Shimanov,/en/players/ofek-shimanov/s0v8/overview,+1,13,-,-
833,m0hb,833,François Musitelli,/en/players/françois-musitelli/m0hb/overview,-,15,3,-
834,pl69,834,Kody Pearson,/en/players/kody-pearson/pl69/overview,-,16,-,-
835,a0ie,835,Seydina Andre,/en/players/seydina-andre/a0ie/overview,-,18,-,-
836,b0e4,836,Mateo Barreiros Reyes,/en/players/mateo-barreiros-reyes/b0e4/overview,-,19,-,-
837,l0b7,837,Kai Lemstra,/en/players/kai-lemstra/l0b7/overview,-,20,-,-
838,c0c1,838,Niccolo Catini,/en/players/niccolo-catini/c0c1/overview,-,21,-,-
839,p0gq,839,Mili Poljicak,/en/players/mili-poljicak/p0gq/overview,+2,23,-,-
840,li39,840,Alexandar Lazarov,/en/players/alexandar-lazarov/li39/overview,-,6,20,-
841,m0re,841,Patrick Maloney,/en/players/patrick-maloney/m0re/overview,+1,11,-,-
842,s0ao,842,Luke Simkiss,/en/players/luke-simkiss/s0ao/overview,-,12,-,-
843,bv17,843,Riccardo Balzerani,/en/players/riccardo-balzerani/bv17/overview,-,13,-,-
844,l0ee,844,Daniel Little,/en/players/daniel-little/l0ee/overview,-,15,-,-
845,w716,845,Mark Whitehouse,/en/players/mark-whitehouse/w716/overview,-,21,-,-
846,b0jn,846,Thomas Braithwaite,/en/players/thomas-braithwaite/b0jn/overview,-,21,1,-
847,s0ba,847,Luigi Sorrentino,/en/players/luigi-sorrentino/s0ba/overview,-,21,-,-
848,h0ez,848,Samir Hamza Reguig,/en/players/samir-hamza-reguig/h0ez/overview,-,30,-,-
849,v0dq,849,Iiro Vasa,/en/players/iiro-vasa/v0dq/overview,-,4,-,-
850,c0ht,850,Murphy Cassone,/en/players/murphy-cassone/c0ht/overview,-,7,-,-
851,b0hy,851,Isaac Becroft,/en/players/isaac-becroft/b0hy/overview,-,9,-,-
852,mj71,852,Mats Moraing,/en/players/mats-moraing/mj71/overview,-7,9,-,-
853,r0il,853,Iliyan Radulov,/en/players/iliyan-radulov/r0il/overview,-,11,-,-
854,mo76,854,Gergely Madarasz,/en/players/gergely-madarasz/mo76/overview,-,11,-,-
855,b0pd,855,Peter Buldorini,/en/players/peter-buldorini/b0pd/overview,-,12,-,-
856,a622,856,Andrea Arnaboldi,/en/players/andrea-arnaboldi/a622/overview,-4,12,-,-
857,r0ar,857,Daniel Rodrigues,/en/players/daniel-rodrigues/r0ar/overview,-3,14,-,-
858,w710,858,Henrik Wiersholm,/en/players/henrik-wiersholm/w710/overview,-,14,-,-
859,s0jb,859,Noah Schachter,/en/players/noah-schachter/s0jb/overview,-,16,-,-
860,j0cw,860,Yunseok Jang,/en/players/yunseok-jang/j0cw/overview,-,20,-,-
861,t0bd,861,Nicolas Tepmahc,/en/players/nicolas-tepmahc/t0bd/overview,-2,21,-,-
862,z350,862,Michael Zhu,/en/players/michael-zhu/z350/overview,-,22,-,-
863,c09g,863,Ignacio Carou,/en/players/ignacio-carou/c09g/overview,-,24,-,-
864,j732,864,Ben Jones,/en/players/ben-jones/j732/overview,-,25,-,-
865,kf17,865,Soonwoo Kwon,/en/players/soonwoo-kwon/kf17/overview,-20,7,-,-
866,n0dy,866,Fnu Nidunjianzan,/en/players/fnu-nidunjianzan/n0dy/overview,-,5,-,-
867,sp24,867,Brayden Schnur,/en/players/brayden-schnur/sp24/overview,-,6,-,-
868,d0dc,868,Etienne Donnet,/en/players/etienne-donnet/d0dc/overview,-,7,-,-
869,c0c5,869,Luciano Carraro,/en/players/luciano-carraro/c0c5/overview,-,9,-,-
870,pg03,870,Calum Puttergill,/en/players/calum-puttergill/pg03/overview,-,10,-,-
871,d0i5,871,Max Dahlin,/en/players/max-dahlin/d0i5/overview,-,12,-,-
872,pg56,872,Jorge Panta,/en/players/jorge-panta/pg56/overview,-5,13,-,-
873,r685,873,Lukas Rosol,/en/players/lukas-rosol/r685/overview,-,13,-,-
874,m0gy,874,Lilian Marmousez,/en/players/lilian-marmousez/m0gy/overview,-1,14,-,-
