,pid,rank,name,link,points_moved,tourneys_played,points_losing,points_gaining
106,n0bg,106,Luca Nardi,/en/players/luca-nardi/n0bg/overview,-20,26,60,-
107,p09o,107,Zsombor Piros,/en/players/zsombor-piros/p09o/overview,-,31,-,-
108,d994,108,James Duckworth,/en/players/james-duckworth/d994/overview,-51,25,9,8
109,f510,109,Fabio Fognini,/en/players/fabio-fognini/f510/overview,-45,21,-,-
110,pd31,110,Benoit Paire,/en/players/benoit-paire/pd31/overview,-3,37,-,-
111,bs86,111,Tomas Barrios Vera,/en/players/tomas-barrios-vera/bs86/overview,+30,27,-,-
112,s0la,112,Dominic Stricker,/en/players/dominic-stricker/s0la/overview,-75,18,-,-
113,gb88,113,David Goffin,/en/players/david-goffin/gb88/overview,-8,28,-,-
114,c0df,114,Francisco Comesana,/en/players/francisco-comesana/c0df/overview,+18,28,-,-
115,ki82,115,Vit Kopriva,/en/players/vit-kopriva/ki82/overview,+13,24,-,-
116,m0jf,116,Hamad Medjedovic,/en/players/hamad-medjedovic/m0jf/overview,-36,19,9,-
117,sm37,117,Diego Schwartzman,/en/players/diego-schwartzman/sm37/overview,-,27,-,-
118,g628,118,Richard Gasquet,/en/players/richard-gasquet/g628/overview,+19,34,-,-
119,v836,119,Juan Pablo Varillas,/en/players/juan-pablo-varillas/v836/overview,-45,24,-,-
120,su55,120,Denis Shapovalov,/en/players/denis-shapovalov/su55/overview,-,21,45,-
121,a0cj,121,Duje Ajdukovic,/en/players/duje-ajdukovic/a0cj/overview,+18,28,-,-
122,mp01,122,Michael Mmoh,/en/players/michael-mmoh/mp01/overview,-,18,45,-
123,bu13,123,Zizou Bergs,/en/players/zizou-bergs/bu13/overview,-,22,11,-
124,bk24,124,Gregoire Barrere,/en/players/gregoire-barrere/bk24/overview,-9,30,-,-
125,bk40,125,Matteo Berrettini,/en/players/matteo-berrettini/bk40/overview,-,17,90,-
126,wb08,126,Yosuke Watanuki,/en/players/yosuke-watanuki/wb08/overview,-38,21,-,-
127,u182,127,Camilo Ugo Carabelli,/en/players/camilo-ugo-carabelli/u182/overview,-,22,12,6
128,bi23,128,Liam Broady,/en/players/liam-broady/bi23/overview,-32,25,-,-
129,d0f6,129,Gabriel Diallo,/en/players/gabriel-diallo/d0f6/overview,-,26,-,-
130,mw75,130,Felipe Meligeni Alves,/en/players/felipe-meligeni-alves/mw75/overview,+68,28,-,-
131,v0am,131,Otto Virtanen,/en/players/otto-virtanen/v0am/overview,+119,25,-,-
132,m0g4,132,Harold Mayot,/en/players/harold-mayot/m0g4/overview,-20,27,20,-
133,va08,133,Andrea Vavassori,/en/players/andrea-vavassori/va08/overview,-,20,-,-
134,n0am,134,Emilio Nava,/en/players/emilio-nava/n0am/overview,+31,32,-,-
135,mv14,135,Alex Molcan,/en/players/alex-molcan/mv14/overview,-45,24,-,-
136,kb95,136,Jason Kubler,/en/players/jason-kubler/kb95/overview,-20,18,-,-
137,d0c1,137,Jesper de Jong,/en/players/jesper-de-jong/d0c1/overview,+6,24,-,-
138,m0hu,138,Shintaro Mochizuki,/en/players/shintaro-mochizuki/m0hu/overview,-,22,20,-
139,s0re,139,Juncheng  Shang,/en/players/juncheng--shang/s0re/overview,-,20,-,-
140,mw02,140,Corentin Moutet,/en/players/corentin-moutet/mw02/overview,+25,28,-,-
141,z0a1,141,Giulio Zeppieri,/en/players/giulio-zeppieri/z0a1/overview,-37,27,-,-
142,ki63,142,Lukas Klein,/en/players/lukas-klein/ki63/overview,-5,27,-,-
143,z419,143,Bernabe Zapata Miralles,/en/players/bernabe-zapata-miralles/z419/overview,-180,27,-,-
144,gf95,144,Hugo Grenier,/en/players/hugo-grenier/gf95/overview,+38,24,-,-
145,w09e,145,Adam Walton,/en/players/adam-walton/w09e/overview,+42,33,16,7
146,a0gc,146,Terence Atmane,/en/players/terence-atmane/a0gc/overview,-,29,-,-
147,va25,147,Valentin Vacherot,/en/players/valentin-vacherot/va25/overview,+97,28,-,-
148,bf23,148,Facundo Bagnis,/en/players/facundo-bagnis/bf23/overview,-20,24,-,-
149,s0k7,149,Zachary Svajda,/en/players/zachary-svajda/s0k7/overview,-23,25,-,-
150,k0a3,150,Patrick Kypson,/en/players/patrick-kypson/k0a3/overview,-11,23,-,-
151,l0cx,151,Pablo Llamas Ruiz,/en/players/pablo-llamas-ruiz/l0cx/overview,-4,24,-,-
152,a829,152,Radu Albot,/en/players/radu-albot/a829/overview,-,29,-,-
153,d923,153,Damir Dzumhur,/en/players/damir-dzumhur/d923/overview,-5,27,-,-
154,hg94,154,Benjamin Hassan,/en/players/benjamin-hassan/hg94/overview,-,31,-,-
155,ph64,155,Andrea Pellegrino,/en/players/andrea-pellegrino/ph64/overview,+13,23,-,-
156,g0gd,156,Matteo Gigante,/en/players/matteo-gigante/g0gd/overview,+75,24,-,-
157,da31,157,Hugo Dellien,/en/players/hugo-dellien/da31/overview,-90,29,-,-
158,y218,158,Elias Ymer,/en/players/elias-ymer/y218/overview,-,27,55,-
159,b0fv,159,Roman Andres Burruchaga,/en/players/roman-andres-burruchaga/b0fv/overview,-,33,-,-
160,r0fs,160,Leandro Riedi,/en/players/leandro-riedi/r0fs/overview,+44,19,-,-
161,c0c8,161,Juan Manuel Cerundolo,/en/players/juan-manuel-cerundolo/c0c8/overview,+3,29,32,-
162,n679,162,Stefano Napolitano,/en/players/stefano-napolitano/n679/overview,-,27,-,-
163,m0jz,163,Filip Misolic,/en/players/filip-misolic/m0jz/overview,-6,23,4,-
164,mw18,164,Nicolas Moreno De Alboran,/en/players/nicolas-moreno-de-alboran/mw18/overview,-9,24,-,-
165,k926,165,Mikhail Kukushkin,/en/players/mikhail-kukushkin/k926/overview,-,22,-,-
166,h996,166,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,+8,20,-,-
167,d0dw,167,Titouan Droguet,/en/players/titouan-droguet/d0dw/overview,+16,24,-,-
168,pg94,168,Marc Polmans,/en/players/marc-polmans/pg94/overview,-2,33,-,-
169,p0hw,169,Dino Prizmic,/en/players/dino-prizmic/p0hw/overview,+16,20,-,-
170,m0gz,170,Giovanni Mpetshi Perricard,/en/players/giovanni-mpetshi-perricard/m0gz/overview,-14,27,-,-
171,ss25,171,Vitaliy Sachko,/en/players/vitaliy-sachko/ss25/overview,-,28,-,-
172,bm95,172,Benjamin Bonzi,/en/players/benjamin-bonzi/bm95/overview,-148,30,-,-
173,ch12,173,Jan Choinski,/en/players/jan-choinski/ch12/overview,-4,32,-,-
174,o660,174,Genaro Alberto Olivieri,/en/players/genaro-alberto-olivieri/o660/overview,+13,22,15,-
175,sy67,175,Sho Shimabukuro,/en/players/sho-shimabukuro/sy67/overview,-7,21,7,-
176,ge28,176,Ivan Gakhov,/en/players/ivan-gakhov/ge28/overview,-,26,-,-
177,s0gd,177,Dalibor Svrcina,/en/players/dalibor-svrcina/s0gd/overview,+7,28,-,-
178,kb09,178,Denis Kudla,/en/players/denis-kudla/kb09/overview,-25,23,-,-
179,y171,179,Denis Yevseyev,/en/players/denis-yevseyev/y171/overview,-1,28,-,-
180,hg86,180,Lloyd Harris,/en/players/lloyd-harris/hg86/overview,-,21,-,-
181,y09v,181,Yunchaokete Bu,/en/players/yunchaokete-bu/y09v/overview,-4,16,5,-
182,c0bc,182,Maxime Cressy,/en/players/maxime-cressy/c0bc/overview,-13,29,-,-
183,b0gg,183,Mattia Bellucci,/en/players/mattia-bellucci/b0gg/overview,+16,31,-,-
184,cg33,184,Kimmer Coppejans,/en/players/kimmer-coppejans/cg33/overview,-,23,-,-
185,hd68,185,Billy Harris,/en/players/billy-harris/hd68/overview,-,34,-,-
186,i305,186,Ilya Ivashka,/en/players/ilya-ivashka/i305/overview,-,17,-,-
187,m0ac,187,Rudolf Molleker,/en/players/rudolf-molleker/m0ac/overview,-5,34,-,-
188,ta12,188,Stefano Travaglia,/en/players/stefano-travaglia/ta12/overview,+40,29,-,-
189,mw76,189,Matteo Martineau,/en/players/matteo-martineau/mw76/overview,-,29,-,-
190,z09z,190,Beibit Zhukayev,/en/players/beibit-zhukayev/z09z/overview,-,23,-,-
191,j0az,191,Kyrian Jacquet,/en/players/kyrian-jacquet/j0az/overview,-,22,-,-
192,rc04,192,Alexander Ritschard,/en/players/alexander-ritschard/rc04/overview,-26,26,11,-
193,rb60,193,Oriol Roca Batalla,/en/players/oriol-roca-batalla/rb60/overview,-,35,8,2
194,f840,194,Nerman Fatic,/en/players/nerman-fatic/f840/overview,-,28,-,-
195,l0gh,195,Mark Lajal,/en/players/mark-lajal/l0gh/overview,-,28,3,2
196,rh59,196,Santiago Rodriguez Taverna,/en/players/santiago-rodriguez-taverna/rh59/overview,-,33,-,-
197,bv16,197,Ugo Blanchet,/en/players/ugo-blanchet/bv16/overview,-3,25,5,-
198,cf01,198,Marco Cecchinato,/en/players/marco-cecchinato/cf01/overview,-,23,20,-
199,hh06,199,Marc-Andrea Huesler,/en/players/marc-andrea-huesler/hh06/overview,-,28,-,-
200,aa27,200,Franco Agamenone,/en/players/franco-agamenone/aa27/overview,+6,24,-,-
201,e768,201,Antoine Escoffier,/en/players/antoine-escoffier/e768/overview,-8,25,-,-
202,s0ia,202,Dane Sweeny,/en/players/dane-sweeny/s0ia/overview,+21,29,9,4
203,tc01,203,Li Tu,/en/players/li-tu/tc01/overview,-,29,-,-
204,c0ak,204,Oliver Crawford,/en/players/oliver-crawford/c0ak/overview,-22,28,-,-
205,mk26,205,Jules Marie,/en/players/jules-marie/mk26/overview,+19,34,-,-
206,bo10,206,Gijs Brouwer,/en/players/gijs-brouwer/bo10/overview,-32,26,11,-
207,gk06,207,Alexis Galarneau,/en/players/alexis-galarneau/gk06/overview,-,24,7,-
208,r0fp,208,Daniel Rincon,/en/players/daniel-rincon/r0fp/overview,-,26,-,-
209,d0dt,209,Martin Damm,/en/players/martin-damm/d0dt/overview,+8,29,8,4
210,va70,210,Mate Valkusz,/en/players/mate-valkusz/va70/overview,-,20,-,-
