pid,rank,name,link,points,points_moved,tourneys_played,points_losing,points_gaining
a0cj,121,Duje Ajdukovic,/en/players/duje-ajdukovic/a0cj/overview,528,+18,28,-,-
mp01,122,Michael Mmoh,/en/players/michael-mmoh/mp01/overview,527,-,18,45,-
bu13,123,Zizou Bergs,/en/players/zizou-bergs/bu13/overview,524,-,22,11,-
bk24,124,Gregoire Barrere,/en/players/gregoire-barrere/bk24/overview,513,-9,30,-,-
bk40,125,Matteo Berrettini,/en/players/matteo-berrettini/bk40/overview,512,-,17,90,-
wb08,126,Yosuke Watanuki,/en/players/yosuke-watanuki/wb08/overview,512,-38,21,-,-
u182,127,Camilo Ugo Carabelli,/en/players/camilo-ugo-carabelli/u182/overview,500,-,22,12,6
bi23,128,Liam Broady,/en/players/liam-broady/bi23/overview,492,-32,25,-,-
d0f6,129,Gabriel Diallo,/en/players/gabriel-diallo/d0f6/overview,488,-,26,-,-
mw75,130,Felipe Meligeni Alves,/en/players/felipe-meligeni-alves/mw75/overview,484,+68,28,-,-
v0am,131,Otto Virtanen,/en/players/otto-virtanen/v0am/overview,480,+119,25,-,-
m0g4,132,Harold Mayot,/en/players/harold-mayot/m0g4/overview,479,-20,27,20,-
va08,133,Andrea Vavassori,/en/players/andrea-vavassori/va08/overview,477,-,20,-,-
n0am,134,Emilio Nava,/en/players/emilio-nava/n0am/overview,474,+31,32,-,-
mv14,135,Alex Molcan,/en/players/alex-molcan/mv14/overview,473,-45,24,-,-
kb95,136,Jason Kubler,/en/players/jason-kubler/kb95/overview,471,-20,18,-,-
d0c1,137,Jesper de Jong,/en/players/jesper-de-jong/d0c1/overview,469,+6,24,-,-
m0hu,138,Shintaro Mochizuki,/en/players/shintaro-mochizuki/m0hu/overview,468,-,22,20,-
s0re,139,Juncheng  Shang,/en/players/juncheng--shang/s0re/overview,465,-,20,-,-
mw02,140,Corentin Moutet,/en/players/corentin-moutet/mw02/overview,464,+25,28,-,-
z0a1,141,Giulio Zeppieri,/en/players/giulio-zeppieri/z0a1/overview,461,-37,27,-,-
ki63,142,Lukas Klein,/en/players/lukas-klein/ki63/overview,459,-5,27,-,-
z419,143,Bernabe Zapata Miralles,/en/players/bernabe-zapata-miralles/z419/overview,457,-180,27,-,-
gf95,144,Hugo Grenier,/en/players/hugo-grenier/gf95/overview,455,+38,24,-,-
w09e,145,Adam Walton,/en/players/adam-walton/w09e/overview,454,+42,33,16,7
a0gc,146,Terence Atmane,/en/players/terence-atmane/a0gc/overview,453,-,29,-,-
va25,147,Valentin Vacherot,/en/players/valentin-vacherot/va25/overview,453,+97,28,-,-
