pid,rank,name,link,points,points_moved,tourneys_played,points_losing,points_gaining
mw18,166,Nicolas Moreno De Alboran,/en/players/nicolas-moreno-de-alboran/mw18/overview,387,-,24,-,-
d0dw,167,Titouan Droguet,/en/players/titouan-droguet/d0dw/overview,385,+7,25,-,-
pg94,168,Marc Polmans,/en/players/marc-polmans/pg94/overview,378,-,32,-,-
p0hw,169,Dino Prizmic,/en/players/dino-prizmic/p0hw/overview,377,-,21,15,-
bm95,170,Benjamin Bonzi,/en/players/benjamin-bonzi/bm95/overview,371,+4,31,-,-
ss25,171,Vitaliy Sachko,/en/players/vitaliy-sachko/ss25/overview,371,-,28,20,2
ch12,172,Jan Choinski,/en/players/jan-choinski/ch12/overview,367,-,33,-,-
sy67,173,Sho Shimabukuro,/en/players/sho-shimabukuro/sy67/overview,365,-,21,-,-
s0gd,174,Dalibor Svrcina,/en/players/dalibor-svrcina/s0gd/overview,363,+12,28,-,-
y09v,175,Yunchaokete Bu,/en/players/yunchaokete-bu/y09v/overview,353,+17,16,-,-
ge28,176,Ivan Gakhov,/en/players/ivan-gakhov/ge28/overview,351,-,27,-,-
o660,177,Genaro Alberto Olivieri,/en/players/genaro-alberto-olivieri/o660/overview,350,-15,21,30,-
y218,178,Elias Ymer,/en/players/elias-ymer/y218/overview,342,-55,26,-,-
kb09,179,Denis Kudla,/en/players/denis-kudla/kb09/overview,342,-,23,-,-
y171,180,Denis Yevseyev,/en/players/denis-yevseyev/y171/overview,341,-,27,9,3
hd68,181,Billy Harris,/en/players/billy-harris/hd68/overview,337,+9,34,-,-
hg86,182,Lloyd Harris,/en/players/lloyd-harris/hg86/overview,336,-,22,-,-
c0bc,183,Maxime Cressy,/en/players/maxime-cressy/c0bc/overview,335,-,28,10,-
b0gg,184,Mattia Bellucci,/en/players/mattia-bellucci/b0gg/overview,335,-,31,3,-
cg33,185,Kimmer Coppejans,/en/players/kimmer-coppejans/cg33/overview,330,-,23,16,-
i305,186,Ilya Ivashka,/en/players/ilya-ivashka/i305/overview,326,-,18,45,-
m0ac,187,Rudolf Molleker,/en/players/rudolf-molleker/m0ac/overview,324,-,35,-,-
da86,188,Joris De Loore,/en/players/joris-de-loore/da86/overview,323,+34,21,-,-
ta12,189,Stefano Travaglia,/en/players/stefano-travaglia/ta12/overview,321,-,30,4,-
mw76,190,Matteo Martineau,/en/players/matteo-martineau/mw76/overview,319,-,29,-,-
z09z,191,Beibit Zhukayev,/en/players/beibit-zhukayev/z09z/overview,316,-,23,-,-
j0az,192,Kyrian Jacquet,/en/players/kyrian-jacquet/j0az/overview,315,-,22,3,-
tc01,193,Li Tu,/en/players/li-tu/tc01/overview,311,+14,29,-,-
f840,194,Nerman Fatic,/en/players/nerman-fatic/f840/overview,309,-,28,16,-
l0gh,195,Mark Lajal,/en/players/mark-lajal/l0gh/overview,307,-1,27,-,-
rh59,196,Santiago Rodriguez Taverna,/en/players/santiago-rodriguez-taverna/rh59/overview,305,-,34,16,6
rb60,197,Oriol Roca Batalla,/en/players/oriol-roca-batalla/rb60/overview,304,-6,35,16,2
rc04,198,Alexander Ritschard,/en/players/alexander-ritschard/rc04/overview,302,-11,25,7,-
hh06,199,Marc-Andrea Huesler,/en/players/marc-andrea-huesler/hh06/overview,301,-,27,25,8
aa27,200,Franco Agamenone,/en/players/franco-agamenone/aa27/overview,301,-,25,16,-
e768,201,Antoine Escoffier,/en/players/antoine-escoffier/e768/overview,300,-,26,30,-
bv16,202,Ugo Blanchet,/en/players/ugo-blanchet/bv16/overview,299,-5,23,-,-
mk26,203,Jules Marie,/en/players/jules-marie/mk26/overview,298,+3,35,25,3
